Date,Close,Index_predicted,Return,mean_of_group,r_cat,top_pred,top_prob
2017-10-23,3380.7,3345.410112437166,0.0006067512172021061,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0098382157260545,0.7462668418884277
2017-10-24,3388.25,3399.9832992204683,0.0022332653000858294,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.7139884829521179
2017-10-25,3396.9,3407.576363943489,0.002552940308418794,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.6563254594802856
2017-10-26,3407.57,3401.6354941589307,0.0031410992375400237,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.639991044998169
2017-10-27,3416.81,3412.3203688160224,0.002711609739491694,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.4591389298439026
2017-10-30,3390.34,3421.57324996237,-0.007746992077405479,-0.006015443286824101,"(-0.00804, -0.00408]",0.0013940634575438315,0.34894317388534546
2017-10-31,3393.34,3383.6364097966134,0.0008848670044891982,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0019772619275313257,0.8819535970687866
2017-11-01,3395.91,3412.695396981923,0.0007573658990844834,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.9907788038253784
2017-11-02,3383.31,3415.2800560995597,-0.0037103456805391843,-0.0019772619275313257,"(-0.00408, -0.000124]",0.005703936823873401,0.9986991882324219
2017-11-03,3371.74,3322.914494705919,-0.0034197280178287492,-0.0019772619275313257,"(-0.00408, -0.000124]",-0.017851011374683645,0.7023005485534668
2017-11-06,3388.17,3404.3861251643702,0.004872854965092266,0.005703936823873401,"(0.00384, 0.0078]",0.009682278338297186,0.4877417981624603
2017-11-07,3413.57,3420.9752049974686,0.0074966722448992495,0.005703936823873401,"(0.00384, 0.0078]",0.009682278338297186,0.3962155878543854
2017-11-08,3415.46,3446.6211348672614,0.0005536725480947968,0.0013940634575438315,"(-0.000124, 0.00384]",0.009682278338297186,0.9919849038124084
2017-11-09,3427.79,3448.529434373321,0.0036100554537310536,0.0013940634575438315,"(-0.000124, 0.00384]",0.009682278338297186,0.7703098654747009
2017-11-10,3432.67,3447.341897605505,0.0014236578086754825,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.5561827421188354
2017-11-13,3447.84,3437.455359808807,0.004419300427946693,0.005703936823873401,"(0.00384, 0.0078]",0.0013940634575438315,0.9729121327400208
2017-11-14,3429.55,3386.2925689419108,-0.005304770522994051,-0.006015443286824101,"(-0.00804, -0.00408]",-0.017851011374683645,0.501054584980011
2017-11-15,3402.52,3381.740453464377,-0.007881500488402304,-0.006015443286824101,"(-0.00804, -0.00408]",-0.013940472229774408,0.7648566961288452
2017-11-16,3399.25,3462.5409436720342,-0.00096105239645905,-0.0019772619275313257,"(-0.00408, -0.000124]",0.017640144267200328,0.9858249425888062
2017-11-17,3382.91,3418.6391072485517,-0.004806942707950346,-0.006015443286824101,"(-0.00804, -0.00408]",0.005703936823873401,0.951098620891571
2017-11-20,3392.4,3387.625991211159,0.0028052771134912113,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.9791659712791443
2017-11-21,3410.5,3371.993210193778,0.005335455724560845,0.005703936823873401,"(0.00384, 0.0078]",-0.006015443286824101,0.6988038420677185
2017-11-22,3430.46,3389.9843306702865,0.005852514294091726,0.005703936823873401,"(0.00384, 0.0078]",-0.006015443286824101,0.9694653153419495
2017-11-23,3351.92,3435.2422789285656,-0.02289488873212342,-0.021932122906022918,"(-0.0239, -0.0199]",0.0013940634575438315,0.8869175314903259
