Date,Open,High,Low,Close,Volume,Adj Close
2010-05-21,2583.52,2583.52,2583.52,2583.52,000,2583.52
2010-05-20,2555.94,2555.94,2555.94,2555.94,000,2555.94
2010-05-19,2587.81,2587.81,2587.81,2587.81,000,2587.81
2010-05-18,2594.78,2594.78,2594.78,2594.78,000,2594.78
2010-05-17,2559.93,2559.93,2559.93,2559.93,000,2559.93
2010-05-14,2696.63,2696.63,2696.63,2696.63,000,2696.63
2010-05-13,2710.51,2710.51,2710.51,2710.51,000,2710.51
2010-05-12,2655.71,2655.71,2655.71,2655.71,000,2655.71
2010-05-11,2647.57,2647.57,2647.57,2647.57,000,2647.57
2010-05-10,2698.76,2698.76,2698.76,2698.76,000,2698.76
2010-05-07,2688.38,2688.38,2688.38,2688.38,000,2688.38
2010-05-06,2739.70,2739.70,2739.70,2739.70,000,2739.70
2010-05-05,2857.15,2857.15,2857.15,2857.15,000,2857.15
2010-05-04,2835.28,2835.28,2835.28,2835.28,000,2835.28
2010-05-03,2870.61,2870.61,2870.61,2870.61,000,2870.61
2010-04-30,2870.61,2870.61,2870.61,2870.61,000,2870.61
2010-04-29,2868.43,2868.43,2868.43,2868.43,000,2868.43
2010-04-28,2900.33,2900.33,2900.33,2900.33,000,2900.33
2010-04-27,2907.93,2907.93,2907.93,2907.93,000,2907.93
2010-04-26,2969.50,2969.50,2969.50,2969.50,000,2969.50
2010-04-23,2983.54,2983.54,2983.54,2983.54,000,2983.54
2010-04-22,2999.48,2999.48,2999.48,2999.48,000,2999.48
2010-04-21,3033.28,3033.28,3033.28,3033.28,000,3033.28
2010-04-20,2979.53,2979.53,2979.53,2979.53,000,2979.53
2010-04-19,2980.30,2980.30,2980.30,2980.30,000,2980.30
2010-04-16,3130.30,3130.30,3130.30,3130.30,000,3130.30
2010-04-15,3164.97,3164.97,3164.97,3164.97,000,3164.97
2010-04-14,3166.18,3166.18,3166.18,3166.18,000,3166.18
2010-04-13,3161.25,3161.25,3161.25,3161.25,000,3161.25
2010-04-12,3129.26,3129.26,3129.26,3129.26,000,3129.26
2010-04-09,3145.35,3145.35,3145.35,3145.35,000,3145.35
2010-04-08,3118.71,3118.71,3118.71,3118.71,000,3118.71
2010-04-07,3148.22,3148.22,3148.22,3148.22,000,3148.22
2010-04-06,3158.68,3158.68,3158.68,3158.68,000,3158.68
2010-04-05,3157.96,3157.96,3157.96,3157.96,000,3157.96
2010-04-02,3157.96,3157.96,3157.96,3157.96,000,3157.96
